filename,width,height,class,xmin,ymin,xmax,ymax
00000366.jpg,300,300,red,177,35,212,109
00000819.jpg,300,300,green,115,78,139,122
00000819.jpg,300,300,red,185,163,200,190
00000602.jpg,300,300,green,149,122,218,217
00000170.jpg,300,300,red,140,101,193,141
00000762.jpg,300,300,green,55,110,131,184
00000574.jpg,300,300,green,140,111,187,225
00000560.jpg,300,300,green,114,114,169,197
00000548.jpg,300,300,green,145,85,236,266
00000549.jpg,300,300,green,74,156,111,225
00000561.jpg,300,300,green,151,61,244,159
00000575.jpg,300,300,green,18,74,117,247
00000944.jpg,300,300,red,64,141,91,193
00000950.jpg,300,300,green,150,157,210,199
00000159.jpg,300,300,red,154,122,176,155
00000617.jpg,300,300,green,63,41,125,144
00000617.jpg,300,300,green,154,141,235,251
00000603.jpg,300,300,green,103,47,206,236
00000824.jpg,300,300,green,86,69,127,139
00000824.jpg,300,300,green,175,66,214,137
00000824.jpg,300,300,green,84,159,125,234
00000824.jpg,300,300,green,176,159,213,235
00000359.jpg,300,300,red,144,113,201,156
00000832.jpg,300,300,green,101,120,184,245
00000167.jpg,300,300,red,113,46,164,133
00000952.jpg,300,300,green,172,95,205,137
00000749.jpg,300,300,green,31,44,237,278
00000563.jpg,300,300,green,122,90,188,194
00000577.jpg,300,300,green,67,103,227,249
00000239.jpg,300,300,red,35,59,135,247
00000239.jpg,300,300,green,152,63,265,246
00000576.jpg,300,300,green,106,60,201,224
00000562.jpg,300,300,green,37,105,77,171
00000562.jpg,300,300,green,118,112,153,163
00000562.jpg,300,300,green,194,108,230,181
00000774.jpg,300,300,green,122,72,146,106
00000774.jpg,300,300,green,159,74,182,103
00000774.jpg,300,300,green,121,111,147,139
00000774.jpg,300,300,green,157,112,188,141
00000600.jpg,300,300,green,58,80,90,127
00000172.jpg,300,300,red,133,54,173,98
00000833.jpg,300,300,green,147,201,168,234
00000358.jpg,300,300,red,74,178,127,279
00000402.jpg,300,300,red,122,75,174,132
00000370.jpg,300,300,red,52,233,83,279
00000189.jpg,300,300,red,16,56,34,83
00000189.jpg,300,300,red,62,54,79,79
00000162.jpg,300,300,red,99,86,138,193
00000770.jpg,300,300,green,89,196,149,258
00000228.jpg,300,300,red,170,92,270,226
00000228.jpg,300,300,green,45,94,131,217
00000229.jpg,300,300,green,89,191,117,230
00000229.jpg,300,300,red,86,143,117,176
00000605.jpg,300,300,green,59,123,79,150
00000639.jpg,300,300,green,191,154,210,180
