filename,width,height,class,xmin,ymin,xmax,ymax
00000366.jpg,300,300,green,91,118,201,216
00000400.jpg,300,300,green,157,154,188,184
00000372.jpg,300,300,green,150,126,178,170
00000170.jpg,300,300,green,117,120,202,208
00000158.jpg,300,300,green,132,103,184,196
00000010.jpg,300,300,green,30,178,76,239
00000004.jpg,300,300,green,96,123,163,184
00000038.jpg,300,300,green,116,118,150,173
00000206.jpg,300,300,green,73,126,142,219
00000039.jpg,300,300,green,151,158,171,201
00000005.jpg,300,300,green,169,132,230,193
00000011.jpg,0,0,green,100,84,191,220
00000165.jpg,300,300,green,49,46,180,219
00000401.jpg,300,300,green,115,71,181,173
00000403.jpg,300,300,green,142,113,219,202
00000167.jpg,300,300,green,105,83,138,122
00000167.jpg,300,300,green,161,83,195,127
00000167.jpg,300,300,green,106,136,134,183
00000167.jpg,300,300,green,164,137,196,184
00000007.jpg,300,300,green,128,64,173,132
00000007.jpg,300,300,green,10,207,53,274
00000007.jpg,300,300,green,59,209,96,278
00000007.jpg,300,300,green,103,211,134,274
00000007.jpg,300,300,green,142,212,173,272
00000007.jpg,300,300,green,183,210,210,276
00000007.jpg,300,300,green,217,214,247,278
00000007.jpg,300,300,green,254,213,287,280
00000013.jpg,300,300,green,145,106,185,200
00000205.jpg,300,300,green,131,117,200,236
00000211.jpg,300,300,green,114,92,191,207
00000238.jpg,300,300,green,36,13,262,291
00000210.jpg,300,300,green,71,107,137,239
00000204.jpg,300,300,green,83,130,103,160
00000012.jpg,300,300,green,147,145,227,203
00000006.jpg,300,300,green,114,96,203,241
00000166.jpg,300,300,green,123,130,202,193
00000172.jpg,300,300,green,13,166,74,257
00000172.jpg,300,300,green,84,170,137,261
00000172.jpg,300,300,green,157,170,225,269
00000402.jpg,300,300,green,77,147,116,229
00000364.jpg,300,300,green,43,105,127,224
00000348.jpg,300,300,green,115,141,234,256
00000374.jpg,300,300,green,114,84,212,212
00000176.jpg,300,300,green,135,120,223,210
00000002.jpg,300,300,green,73,22,279,261
00000200.jpg,300,300,green,172,87,277,261
00000214.jpg,300,300,green,217,46,266,122
00000229.jpg,300,300,green,139,128,165,163
00000003.jpg,300,300,green,112,103,178,203
00000163.jpg,0,0,green,85,64,211,260
00000407.jpg,300,300,green,149,152,183,205
00000413.jpg,300,300,green,125,106,156,156
00000439.jpg,300,300,green,28,58,53,81
00000363.jpg,300,300,green,93,135,185,256
00000175.jpg,300,300,green,110,93,174,213
00000029.jpg,300,300,green,52,14,275,227
00000015.jpg,300,300,green,179,166,239,260
00000001.jpg,300,300,green,50,44,256,266
00000216.jpg,300,300,green,73,78,101,141
00000000.jpg,300,300,green,118,131,159,169
00000014.jpg,300,300,green,83,152,178,246
00000160.jpg,300,300,green,15,174,59,260
00000160.jpg,300,300,green,88,173,133,269
00000160.jpg,300,300,green,163,174,201,263
00000410.jpg,300,300,green,189,164,221,229
00000404.jpg,300,300,green,145,25,174,65
00000362.jpg,300,300,green,179,147,213,213
00000305.jpg,300,300,green,75,141,135,208
00000311.jpg,300,300,green,96,161,165,233
00000113.jpg,300,300,green,88,169,197,257
00000270.jpg,300,300,green,89,196,149,258
00000072.jpg,300,300,green,188,120,247,222
00000112.jpg,300,300,green,21,81,121,256
00000310.jpg,300,300,green,131,161,169,220
00000476.jpg,300,300,green,94,73,194,191
00000462.jpg,300,300,green,62,120,79,142
00000304.jpg,300,300,green,86,146,140,236
00000312.jpg,300,300,green,47,125,96,180
00000312.jpg,300,300,green,135,125,180,171
00000448.jpg,300,300,green,59,125,106,254
00000104.jpg,300,300,green,100,64,207,242
00000064.jpg,300,300,green,140,86,159,119
00000070.jpg,300,300,green,6,6,273,282
00000058.jpg,300,300,green,124,162,185,245
00000266.jpg,300,300,green,206,86,252,135
00000059.jpg,300,300,green,134,141,166,208
00000071.jpg,300,300,green,103,74,207,256
00000105.jpg,300,300,green,59,123,79,150
00000307.jpg,300,300,green,201,138,262,224
00000313.jpg,300,300,green,97,187,130,248
00000459.jpg,300,300,green,120,172,168,271
00000471.jpg,300,300,green,171,150,222,208
00000049.jpg,300,300,green,74,156,111,225
00000061.jpg,300,300,green,151,61,244,159
00000075.jpg,300,300,green,18,74,117,247
00000262.jpg,300,300,green,55,110,131,184
00000074.jpg,300,300,green,140,111,187,225
00000060.jpg,300,300,green,114,114,169,197
00000048.jpg,300,300,green,145,85,236,266
00000100.jpg,300,300,green,58,80,90,127
00000464.jpg,300,300,green,183,78,257,234
00000302.jpg,300,300,green,61,154,134,222
00000328.jpg,300,300,green,125,95,195,161
00000466.jpg,300,300,green,122,156,154,207
00000102.jpg,300,300,green,149,122,218,217
00000076.jpg,300,300,green,106,60,201,224
00000062.jpg,300,300,green,37,105,77,171
00000062.jpg,300,300,green,118,112,153,163
00000062.jpg,300,300,green,194,108,230,181
00000274.jpg,300,300,green,122,72,146,106
00000274.jpg,300,300,green,159,74,182,103
00000274.jpg,300,300,green,121,111,147,139
00000274.jpg,300,300,green,157,112,188,141
00000261.jpg,300,300,green,126,163,149,191
00000249.jpg,300,300,green,31,44,237,278
00000063.jpg,300,300,green,122,90,188,194
00000077.jpg,300,300,green,67,103,227,249
00000117.jpg,300,300,green,63,41,125,144
00000117.jpg,300,300,green,154,141,235,251
00000103.jpg,300,300,green,103,47,206,236
00000473.jpg,300,300,green,125,69,153,100
00000324.jpg,300,300,green,86,69,127,139
00000324.jpg,300,300,green,175,66,214,137
00000324.jpg,300,300,green,84,159,125,234
00000324.jpg,300,300,green,176,159,213,235
00000126.jpg,300,300,green,176,176,203,236
00000126.jpg,300,300,green,244,178,278,230
00000132.jpg,300,300,green,108,153,184,232
00000052.jpg,300,300,green,74,51,208,234
00000244.jpg,300,300,green,114,107,181,164
00000278.jpg,300,300,green,181,110,208,139
00000245.jpg,300,300,green,142,161,173,220
00000047.jpg,300,300,green,103,82,184,159
00000319.jpg,300,300,green,115,78,139,122
00000325.jpg,300,300,green,57,154,136,228
00000455.jpg,300,300,green,122,155,185,238
00000333.jpg,300,300,green,147,201,168,234
00000327.jpg,300,300,green,142,149,184,207
00000131.jpg,300,300,green,89,180,156,243
00000125.jpg,300,300,green,44,16,166,283
00000119.jpg,300,300,green,116,92,180,202
00000045.jpg,300,300,green,118,79,188,263
00000051.jpg,300,300,green,125,157,176,230
00000253.jpg,300,300,green,78,167,174,244
00000078.jpg,300,300,green,14,90,35,116
00000078.jpg,300,300,green,64,89,86,119
00000124.jpg,300,300,green,64,24,188,291
00000130.jpg,300,300,green,45,179,115,245
00000130.jpg,300,300,green,200,178,235,257
00000440.jpg,300,300,green,151,171,198,220
00000332.jpg,300,300,green,101,120,184,245
00000450.jpg,300,300,green,150,157,210,199
00000108.jpg,300,300,green,103,83,191,207
00000120.jpg,300,300,green,68,108,115,174
00000068.jpg,300,300,green,103,112,146,168
00000243.jpg,300,300,green,151,144,189,176
00000055.jpg,300,300,green,80,66,268,266
00000041.jpg,300,300,green,88,106,203,196
00000069.jpg,300,300,green,61,52,128,134
00000069.jpg,300,300,green,176,56,232,130
00000069.jpg,300,300,green,69,155,125,237
00000069.jpg,300,300,green,183,156,230,242
00000121.jpg,300,300,green,123,136,152,212
00000135.jpg,300,300,green,108,86,192,205
00000109.jpg,300,300,green,53,151,86,196
00000447.jpg,300,300,green,84,157,174,251
00000453.jpg,300,300,green,177,105,206,168
00000123.jpg,300,300,green,149,107,212,214
00000057.jpg,300,300,green,186,120,234,196
00000043.jpg,300,300,green,94,195,167,257
00000269.jpg,300,300,green,45,66,144,232
00000255.jpg,300,300,green,215,156,258,233
00000240.jpg,300,300,green,129,161,203,246
00000268.jpg,300,300,green,123,169,180,240
00000042.jpg,300,300,green,146,102,247,221
00000122.jpg,300,300,green,132,141,183,208
00000452.jpg,300,300,green,172,95,205,137
00000145.jpg,300,300,green,116,109,176,211
00000151.jpg,300,300,green,122,143,204,205
00000031.jpg,300,300,green,100,89,162,199
00000025.jpg,300,300,green,91,91,226,220
00000019.jpg,300,300,green,117,138,166,195
00000226.jpg,300,300,green,112,145,176,261
00000024.jpg,300,300,green,100,63,181,166
00000030.jpg,300,300,green,40,159,97,237
00000178.jpg,300,300,green,108,162,183,274
00000150.jpg,300,300,green,74,125,139,185
00000144.jpg,300,300,green,130,67,183,169
00000408.jpg,300,300,green,116,121,134,157
00000346.jpg,300,300,green,137,151,184,198
00000350.jpg,300,300,green,61,206,88,270
00000378.jpg,300,300,green,186,112,216,149
00000146.jpg,300,300,green,113,80,212,212
00000026.jpg,300,300,green,159,57,184,90
00000032.jpg,300,300,green,115,118,155,181
00000231.jpg,300,300,green,140,179,189,226
00000225.jpg,300,300,green,44,186,103,268
00000033.jpg,300,300,green,115,204,190,272
00000027.jpg,300,300,green,113,120,188,185
00000147.jpg,300,300,green,109,55,190,184
00000153.jpg,300,300,green,88,108,159,202
00000351.jpg,300,300,green,183,157,227,212
00000433.jpg,300,300,green,129,156,174,205
00000341.jpg,300,300,green,127,163,184,240
00000427.jpg,300,300,green,230,85,267,125
00000143.jpg,300,300,green,70,22,225,274
00000023.jpg,300,300,green,39,15,283,271
00000037.jpg,300,300,green,106,96,281,278
00000209.jpg,300,300,green,108,119,203,226
00000208.jpg,300,300,green,46,129,83,208
00000208.jpg,300,300,green,141,134,177,211
00000036.jpg,300,300,green,105,69,200,224
00000022.jpg,300,300,green,224,121,262,196
00000142.jpg,300,300,green,158,141,198,180
00000340.jpg,300,300,green,45,135,91,196
00000424.jpg,300,300,green,57,149,173,249
00000140.jpg,300,300,green,13,13,269,257
00000008.jpg,300,300,green,172,41,270,230
00000236.jpg,300,300,green,116,180,182,252
00000223.jpg,300,300,green,122,164,154,209
00000237.jpg,300,300,green,96,127,215,215
00000021.jpg,300,300,green,143,146,174,193
00000035.jpg,300,300,green,149,120,212,188
00000009.jpg,300,300,green,95,82,165,239
00000155.jpg,300,300,green,128,152,156,220
00000141.jpg,300,300,green,145,90,208,159
00000169.jpg,300,300,green,125,9,276,290
00000431.jpg,300,300,green,122,187,157,253
00000425.jpg,300,300,green,128,98,182,193
