filename,width,height,class,xmin,ymin,xmax,ymax
00000366.jpg,300,300,red,177,35,212,109
00000170.jpg,300,300,red,140,101,193,141
00000039.jpg,300,300,red,132,51,157,112
00000159.jpg,300,300,red,154,122,176,155
00000373.jpg,300,300,red,258,113,278,141
00000359.jpg,300,300,red,144,113,201,156
00000173.jpg,0,0,red,100,10,217,101
00000167.jpg,300,300,red,113,46,164,133
00000239.jpg,300,300,red,35,59,135,247
00000239.jpg,300,300,green,152,63,265,246
00000172.jpg,300,300,red,133,54,173,98
00000199.jpg,300,300,red,211,29,259,82
00000358.jpg,300,300,red,74,178,127,279
00000402.jpg,300,300,red,122,75,174,132
00000370.jpg,300,300,red,52,233,83,279
00000189.jpg,300,300,red,16,56,34,83
00000189.jpg,300,300,red,62,54,79,79
00000162.jpg,300,300,red,99,86,138,193
00000228.jpg,300,300,red,170,92,270,226
00000228.jpg,300,300,green,45,94,131,217
00000229.jpg,300,300,green,89,191,117,230
00000229.jpg,300,300,red,86,143,117,176
00000188.jpg,300,300,red,69,59,82,78
00000149.jpg,300,300,red,91,59,119,111
00000149.jpg,300,300,red,168,64,201,103
00000203.jpg,300,300,red,177,130,189,154
00000362.jpg,300,300,red,156,13,171,40
00000477.jpg,300,300,red,75,105,139,252
00000113.jpg,300,300,red,96,220,110,240
00000098.jpg,300,300,red,205,146,239,218
00000067.jpg,300,300,red,154,132,176,168
00000271.jpg,300,300,red,86,145,109,186
00000259.jpg,300,300,red,173,39,240,115
00000460.jpg,300,300,red,200,26,273,70
00000460.jpg,300,300,red,154,144,193,170
00000460.jpg,300,300,red,40,192,73,218
00000064.jpg,300,300,red,125,60,177,129
00000064.jpg,300,300,red,128,161,186,235
00000058.jpg,300,300,red,100,155,121,190
00000266.jpg,300,300,red,122,32,175,117
00000266.jpg,300,300,green,112,140,176,227
00000059.jpg,300,300,red,131,64,169,124
00000071.jpg,300,300,red,116,130,184,183
00000065.jpg,300,300,green,89,165,122,234
00000065.jpg,300,300,red,234,163,267,228
00000139.jpg,300,300,red,158,135,184,168
00000111.jpg,300,300,red,130,88,193,149
00000459.jpg,300,300,red,132,66,189,227
00000115.jpg,300,300,red,81,86,138,200
00000049.jpg,300,300,red,135,90,184,214
00000061.jpg,300,300,red,172,34,225,155
00000075.jpg,300,300,red,140,75,179,149
00000074.jpg,300,300,red,63,113,81,133
00000074.jpg,300,300,red,62,139,79,158
00000060.jpg,300,300,red,137,128,185,204
00000100.jpg,300,300,red,132,119,141,139
00000100.jpg,300,300,red,132,146,142,168
00000114.jpg,300,300,red,164,69,204,117
00000302.jpg,300,300,red,67,108,146,193
00000328.jpg,300,300,red,144,73,169,124
00000300.jpg,300,300,red,110,117,158,176
00000472.jpg,300,300,red,171,134,253,255
00000116.jpg,300,300,red,145,64,174,115
00000089.jpg,300,300,red,108,59,193,232
00000076.jpg,300,300,red,175,80,208,130
00000260.jpg,300,300,red,130,39,169,120
00000261.jpg,300,300,red,74,51,114,127
00000249.jpg,300,300,red,122,102,180,200
00000103.jpg,300,300,red,197,60,245,140
00000495.jpg,300,300,red,103,15,205,260
00000456.jpg,300,300,red,125,79,145,112
00000132.jpg,300,300,green,108,43,188,203
00000052.jpg,300,300,red,67,38,213,272
00000245.jpg,300,300,red,56,44,129,127
00000286.jpg,300,300,red,91,152,156,236
00000084.jpg,300,300,red,74,67,129,178
00000090.jpg,300,300,red,105,76,161,221
00000133.jpg,300,300,red,152,88,206,220
00000457.jpg,300,300,red,245,161,288,273
00000496.jpg,300,300,red,58,176,89,219
00000482.jpg,300,300,red,85,80,140,161
00000086.jpg,300,300,red,46,68,159,232
00000051.jpg,300,300,red,64,41,103,109
00000247.jpg,300,300,red,58,71,142,214
00000247.jpg,300,300,green,158,60,257,217
00000291.jpg,300,300,red,137,91,172,157
00000285.jpg,300,300,red,145,82,171,145
00000078.jpg,300,300,red,58,34,162,153
00000093.jpg,300,300,red,107,73,141,117
00000134.jpg,300,300,red,119,56,170,117
00000120.jpg,300,300,green,132,97,151,141
00000097.jpg,300,300,red,76,15,232,259
00000068.jpg,300,300,red,120,37,196,132
00000040.jpg,300,300,red,118,61,164,120
00000054.jpg,300,300,green,91,188,120,248
00000256.jpg,300,300,red,122,93,190,206
00000055.jpg,300,300,red,147,90,191,176
00000041.jpg,300,300,red,146,101,176,151
00000041.jpg,300,300,green,130,176,189,246
00000069.jpg,300,300,red,135,147,167,194
00000096.jpg,300,300,red,122,84,184,220
00000445.jpg,300,300,red,171,76,259,239
00000479.jpg,300,300,red,152,142,170,188
00000490.jpg,300,300,red,137,88,198,255
00000490.jpg,300,300,green,88,90,148,247
00000335.jpg,300,300,red,195,51,217,101
00000080.jpg,300,300,red,104,94,183,219
00000057.jpg,300,300,red,121,91,160,198
00000043.jpg,300,300,red,180,73,225,124
00000043.jpg,300,300,red,16,3,129,285
00000043.jpg,300,300,red,174,174,220,222
00000282.jpg,300,300,red,105,65,172,160
00000282.jpg,300,300,green,103,192,185,286
00000241.jpg,300,300,red,69,40,118,141
00000241.jpg,300,300,red,169,38,241,130
00000241.jpg,300,300,green,63,166,125,263
00000241.jpg,300,300,green,176,166,227,260
00000268.jpg,300,300,red,28,60,151,230
00000056.jpg,300,300,red,96,46,122,83
00000081.jpg,300,300,red,120,79,150,114
00000390.jpg,300,300,red,51,83,151,294
00000186.jpg,300,300,red,100,47,142,138
00000145.jpg,300,300,red,81,79,107,106
00000145.jpg,300,300,red,79,121,108,157
00000031.jpg,300,300,red,128,125,147,169
00000025.jpg,300,300,red,225,118,264,188
00000232.jpg,300,300,red,130,74,169,149
00000024.jpg,300,300,red,98,52,126,117
00000030.jpg,300,300,red,103,35,140,116
00000391.jpg,300,300,red,130,73,174,135
00000391.jpg,300,300,green,127,169,176,229
00000350.jpg,300,300,red,67,71,127,108
00000191.jpg,300,300,red,101,182,130,247
00000185.jpg,300,300,red,208,183,222,202
00000032.jpg,300,300,red,254,1,262,12
00000224.jpg,300,300,red,145,135,177,171
00000225.jpg,300,300,red,51,25,254,261
00000027.jpg,300,300,red,192,105,217,149
00000153.jpg,300,300,red,93,96,132,250
00000379.jpg,300,300,red,75,27,222,142
00000382.jpg,300,300,red,98,67,115,96
00000355.jpg,300,300,red,98,38,144,153
